Track,Artist,Popularity,duration_ms,explicit,Danceability,Energy,key,Loudness,mode,speechiness,Acousticness,instrumentalness,liveness,Valence,BPM,Genre
Disappointment (feat. Rxseboy),Sarcastic Sounds;Rxseboy,57,142092,True,0.657,0.821,0,-5.655,1,0.232,0.686,0.0,0.0736,0.823,169.897,chill
I Don't Trust Nobody - Slowed and Reverb,ZRobb;Shiloh Dynasty,47,95108,False,0.483,0.24,9,-18.583,0,0.0883,0.919,0.726,0.155,0.506,95.164,chill
Love the Way You Lie (Remix),fenekot;Seon,52,97500,False,0.441,0.504,7,-9.469,1,0.359,0.897,0.000301,0.279,0.144,169.824,chill
Flower of Memories,Tenno,60,159193,False,0.447,0.314,3,-13.659,0,0.041,0.835,0.96,0.134,0.134,123.936,chill
Tabibito,Tenno,60,139029,False,0.682,0.34,3,-16.013,0,0.0551,0.521,0.873,0.195,0.266,134.028,chill
Miasu,DaniSogen,59,152142,False,0.654,0.273,11,-15.547,0,0.0295,0.78,0.907,0.369,0.196,111.988,chill
Nature's Temple,Tenno,60,139384,False,0.576,0.405,10,-15.585,0,0.0433,0.779,0.93,0.0972,0.133,130.057,chill
Gold,Arin Ray,58,166256,True,0.649,0.804,4,-4.219,0,0.0605,0.01,5.11e-06,0.0823,0.602,77.454,chill
I Dont Wanna Know Her,Timmies;Shiloh Dynasty,58,122204,False,0.836,0.287,9,-14.701,0,0.342,0.599,0.00439,0.352,0.358,109.934,chill
Saturday Nights,Weston Estate,54,150805,False,0.573,0.747,0,-7.095,0,0.0761,0.695,1.05e-05,0.103,0.632,172.159,chill
Forever,rei brown,54,174093,False,0.635,0.444,7,-11.772,1,0.039,0.656,0.00513,0.105,0.758,159.962,chill
Daisies,Weston Estate,55,203293,False,0.64,0.416,2,-7.897,1,0.0265,0.435,8.82e-06,0.123,0.343,106.008,chill
Daisy,Kid Travis,52,120000,False,0.507,0.43,5,-9.826,0,0.0824,0.13,0.0,0.517,0.336,131.508,chill
Out of the Blue,RINI,61,197580,False,0.596,0.4,11,-6.245,0,0.0284,0.566,0.000246,0.29,0.227,79.018,chill
Low,Lund,57,233962,True,0.745,0.438,4,-7.018,0,0.0326,0.678,0.112,0.125,0.0409,119.99,chill
boyfriend,Maasho,54,180000,False,0.715,0.275,1,-13.382,1,0.057,0.584,8.73e-06,0.129,0.321,107.945,chill
Cut My Hair,Mounika.;Cavetown,61,127137,False,0.824,0.296,10,-13.56,1,0.138,0.316,0.0115,0.0742,0.287,75.008,chill
Will You Stay Here with Me,Tomppabeats,52,71111,False,0.775,0.345,1,-9.911,0,0.372,0.591,0.409,0.105,0.872,81.046,chill
At My Worst,Pink Sweat$,49,170344,False,0.813,0.415,0,-5.926,1,0.0349,0.777,0.0,0.131,0.667,91.921,chill
Past Lives (Acoustic),creamy;Martin Arteta;11:11 Music Group,48,122586,False,0.601,0.33,3,-13.346,1,0.0336,0.981,0.0159,0.355,0.461,116.058,chill
With Somebody Else,Monty Datta;Dhan,53,161406,False,0.703,0.219,1,-14.361,0,0.0888,0.754,0.863,0.224,0.149,91.963,chill
No Matter What,Finding Hope,44,178076,False,0.597,0.127,7,-18.746,1,0.0292,0.894,0.192,0.105,0.0574,103.962,chill
You Don't Know,Justin Park,55,95258,False,0.655,0.345,10,-10.025,1,0.0868,0.356,0.0,0.1,0.614,125.981,chill
Sad Hours,LRN Slime;Shiloh Dynasty,52,178025,False,0.768,0.127,11,-14.982,1,0.0553,0.716,0.776,0.156,0.449,129.893,chill
Without You,Finding Hope;Holly Drummond,43,225410,False,0.477,0.243,8,-17.551,1,0.0636,0.499,0.407,0.0743,0.0997,87.018,chill
I Don't Trust Nobody,cucu;Shiloh,53,72306,False,0.648,0.172,0,-21.154,1,0.303,0.885,0.065,0.495,0.563,94.484,chill
talk,keshi,59,174403,True,0.644,0.74,10,-6.233,1,0.0323,0.455,0.0,0.1,0.718,140.033,chill
Would You Mind,HYBS,59,202750,False,0.712,0.64,0,-7.811,1,0.0401,0.607,0.599,0.324,0.684,94.992,chill
Diamonds,Kid Travis,47,180000,False,0.77,0.33,5,-8.717,0,0.0641,0.191,0.0,0.163,0.548,139.911,chill
Love Sick,Shady Moon,59,155062,True,0.849,0.307,10,-12.631,1,0.228,0.767,4.62e-06,0.097,0.359,116.031,chill
don't give up,yaeow,51,114857,False,0.671,0.295,11,-15.412,0,0.166,0.84,0.00168,0.36,0.513,140.159,chill
Loneliness,RŮDE,50,192407,False,0.674,0.564,10,-12.6,0,0.114,0.109,0.6,0.784,0.658,160.028,chill
24's,JBee,66,166027,True,0.54,0.538,7,-10.838,0,0.389,0.329,0.0,0.106,0.607,97.542,chill
summer nights,Skinny Atlas;Laeland;Snøw,54,172137,False,0.521,0.523,6,-7.621,1,0.0362,0.233,0.0,0.403,0.343,145.156,chill
Take Me,Wänderlost;MEDEIA,55,136800,False,0.593,0.683,6,-7.616,0,0.0285,0.0431,0.122,0.247,0.303,100.024,chill
playing tricks,thuy,61,184257,False,0.67,0.412,4,-8.213,0,0.0779,0.638,1.75e-05,0.0678,0.281,130.005,chill
No Worries,Devin Kennedy,56,161535,False,0.772,0.44,2,-11.046,1,0.0549,0.434,0.0,0.181,0.472,109.962,chill
Eternal Youth VIP,RŮDE,49,217039,False,0.454,0.611,11,-10.152,1,0.0531,0.00192,0.928,0.633,0.109,143.862,chill
Atlantis (Slowed + Reverb),fenekot,33,117500,False,0.356,0.433,1,-12.637,0,0.12,0.88,0.959,0.169,0.106,72.928,chill
Wide Awake (feat. Charlie Houston),ODESZA;Charlie Houston,65,215039,False,0.616,0.886,6,-5.436,0,0.0416,0.163,0.0517,0.129,0.0694,124.987,chill
cloud shapes,chief.,45,144000,False,0.569,0.207,8,-18.596,1,0.0436,0.881,0.941,0.108,0.36,79.978,chill
Feather (feat. Cise Starr & Akin from CYNE),Nujabes;Cise Star;Akin Yai,63,175360,False,0.565,0.749,10,-6.629,0,0.0769,0.655,0.432,0.106,0.881,180.598,chill
We Won't Be Alone,Feint;Laura Brehm,58,234475,False,0.377,0.858,11,-4.9,0,0.148,0.134,0.00185,0.0985,0.117,174.751,chill
Off the Deep End,fenekot,52,100450,False,0.885,0.301,7,-10.622,1,0.0482,0.73,0.107,0.359,0.488,122.025,chill
Atlantis,fenekot,33,108072,False,0.561,0.407,8,-10.254,0,0.111,0.783,0.455,0.472,0.318,165.862,chill
water,lofi.samurai,52,60750,False,0.814,0.43,7,-13.563,1,0.263,0.824,0.647,0.108,0.742,80.015,chill
Love Pain,Skinny Atlas;Snøw;Jomie,52,102127,True,0.792,0.36,9,-9.126,1,0.129,0.0347,0.0,0.18,0.467,94.026,chill
brokenhearted - sunset,joan,48,261560,False,0.533,0.195,10,-10.012,1,0.0325,0.904,0.0,0.106,0.371,138.783,chill
Dreamcatcher,Bahramji & Maneesh De Moor,37,460225,False,0.528,0.274,7,-12.052,1,0.0729,0.379,0.54,0.142,0.0486,129.982,chill
Atlantis (Super Sped Up),fenekot,38,81500,False,0.606,0.433,1,-8.353,0,0.0477,0.433,0.783,0.249,0.525,109.905,chill
Counting Rice,Raimu,60,181305,False,0.645,0.242,2,-13.986,0,0.0402,0.805,0.894,0.115,0.0744,140.015,chill
Hopeless Romantic,Yusei,54,256127,False,0.696,0.476,5,-8.244,1,0.12,0.859,0.813,0.323,0.424,170.062,chill
No Problem,Dvwn,51,211999,False,0.439,0.266,2,-7.548,1,0.0329,0.57,0.0,0.108,0.242,69.611,chill
Atlantis (Sped Up),fenekot,32,102000,False,0.402,0.406,9,-9.661,0,0.134,0.702,0.262,0.131,0.281,85.151,chill
A New Beginning,Tenno,60,179016,False,0.312,0.315,5,-15.185,0,0.0522,0.922,0.908,0.117,0.198,122.008,chill
Grace,Tenno,61,181818,False,0.32,0.373,2,-11.963,0,0.0432,0.563,0.931,0.318,0.0669,66.011,chill
SE15,Mount Kimbie,8,201373,False,0.449,0.499,10,-10.375,0,0.0342,0.77,0.821,0.0981,0.395,82.008,chill
HITMYLINE,John Concepcion;Vinsint,59,200646,True,0.591,0.546,2,-6.566,0,0.156,0.12,1.33e-06,0.0964,0.305,83.7,chill
Coke & Henny Pt. 2,Pink Sweat$,56,157333,False,0.807,0.287,1,-9.852,0,0.0386,0.6,0.0,0.105,0.466,89.975,chill
Sunrise,Kevitch,54,208744,False,0.609,0.389,5,-11.675,0,0.0341,0.527,0.113,0.11,0.144,138.037,chill
Flower,Johnny Stimson,56,173230,False,0.488,0.361,0,-7.682,0,0.209,0.135,0.0,0.0989,0.5,196.813,chill
IDK,MOSSS,53,213497,False,0.416,0.452,5,-11.233,0,0.0589,0.936,0.514,0.257,0.247,73.605,chill
Cool Again,Shoffy,59,191935,False,0.803,0.449,11,-6.861,1,0.0745,0.443,3.32e-05,0.127,0.655,90.077,chill
in your arms,Saib,54,277839,False,0.739,0.28,0,-17.212,1,0.0929,0.697,0.0133,0.362,0.755,142.912,chill
lovesick,potsu,59,150966,False,0.804,0.577,10,-14.929,1,0.14,0.922,0.939,0.113,0.181,79.486,chill
You Are Loving,Timmies;Shiloh Dynasty,57,100812,False,0.814,0.333,6,-11.56,0,0.189,0.874,3.54e-06,0.615,0.387,99.994,chill
You Can't Control My Heart,Shiloh Dynasty;Timmies,55,148600,False,0.879,0.242,0,-11.847,1,0.0397,0.862,0.0993,0.123,0.283,109.918,chill
The Unknown,peach tinted,58,188368,False,0.594,0.69,0,-10.239,1,0.0315,0.151,0.543,0.366,0.726,136.529,chill
Two Weeks,Grizzly Bear,71,243160,False,0.537,0.712,5,-5.597,1,0.0286,0.289,0.00568,0.08,0.704,159.871,chill
just to break my heart,Sky McCreery,62,152727,False,0.651,0.205,9,-10.572,1,0.0465,0.719,0.000832,0.122,0.123,110.016,chill
Strawberries and Wine,Jaylon Ashaun,54,139289,False,0.726,0.618,2,-7.073,1,0.0571,0.481,0.0,0.0945,0.374,110.068,chill
Moonboy,Bennett Coast,56,132230,True,0.507,0.375,9,-10.637,1,0.0256,0.855,0.00981,0.11,0.0519,90.006,chill
Something Isn't Right With Us,VAL,55,151586,False,0.776,0.0956,6,-20.769,0,0.0861,0.805,0.000239,0.352,0.309,89.949,chill
serene//rewind,demxntia;Dion Dugas,54,156825,True,0.568,0.867,0,-5.183,1,0.15,0.209,0.0,0.407,0.441,175.994,chill
Real Thing (feat. Tori Kelly),Pink Sweat$;Tori Kelly,61,195368,False,0.615,0.322,1,-10.408,1,0.0282,0.77,3.39e-05,0.11,0.256,113.064,chill
Hunnids,Sainte,63,166000,False,0.776,0.464,8,-11.044,0,0.0553,0.79,0.000521,0.109,0.52,129.07,chill
Stylin',Sainte,65,158000,False,0.641,0.436,6,-10.353,0,0.323,0.636,2.68e-05,0.14,0.535,129.08,chill
wake up,Zachary Knowles,51,291130,False,0.853,0.344,10,-8.153,1,0.0619,0.356,1.17e-06,0.0578,0.327,115.012,chill
One More Time,yaeow;Roiael,47,151384,False,0.623,0.242,10,-15.055,1,0.0698,0.877,0.000745,0.208,0.191,129.907,chill
Out Of Time,Lund,53,193853,False,0.686,0.436,1,-8.865,1,0.0336,0.574,0.0,0.0955,0.162,119.959,chill
Nothin' on Me,Leah Marie Perez,51,217500,False,0.791,0.402,10,-7.672,0,0.0441,0.4,0.0,0.115,0.478,100.016,chill
Aesthetic Girl,Yusei,54,258144,False,0.707,0.486,9,-8.16,0,0.174,0.973,0.916,0.529,0.519,169.945,chill
The Girl I Haven't Met,Kudasaibeats,56,195000,False,0.785,0.222,8,-21.624,1,0.0418,0.86,0.84,0.106,0.327,139.885,chill
Both of Us,Idealism,56,115763,False,0.702,0.517,11,-8.148,1,0.106,0.18,0.939,0.148,0.518,84.99,chill
Please Come Back,Teqkoi;Ondi Vil;Thomas Reid;Bonjr,55,121521,False,0.737,0.241,9,-16.034,0,0.0882,0.51,0.00572,0.108,0.345,100.0,chill
remedy,Sølace,44,246183,False,0.365,0.183,5,-16.458,0,0.0849,0.978,1.17e-05,0.375,0.129,117.608,chill
Whenever it rains (feat. Nason & amin),Dept;Nason;amin,56,185737,False,0.655,0.532,2,-6.298,1,0.0683,0.822,0.0,0.143,0.421,138.942,chill
selfish (i wished you hated me),demxntia,45,172987,True,0.408,0.516,7,-9.112,0,0.0456,0.691,0.0,0.159,0.514,153.651,chill
Your Dog Loves You (Feat. Crush),Colde;Crush,59,270003,False,0.413,0.232,9,-11.87,1,0.0371,0.928,3.15e-05,0.155,0.134,93.661,chill
Hug,suggi,50,272571,False,0.555,0.275,2,-11.975,1,0.0275,0.785,0.00338,0.096,0.262,139.948,chill
Closure,Faime,43,188275,True,0.708,0.278,9,-9.354,1,0.035,0.636,1.1e-06,0.115,0.321,87.023,chill
Just Hold On,Presence,58,203307,False,0.677,0.629,11,-7.508,1,0.0712,0.553,3.27e-05,0.117,0.186,130.008,chill
Behind The Sun,ODESZA,60,250634,False,0.598,0.926,6,-3.746,0,0.0555,0.00575,0.587,0.125,0.364,140.044,chill
Chill Calling,Fatboibari;dhan,55,99474,False,0.521,0.27,8,-17.214,1,0.34,0.142,0.0,0.334,0.345,103.144,chill
Under Your Skin,BluntOne;Baen Mow,55,145519,False,0.38,0.173,2,-13.952,0,0.0314,0.757,0.802,0.117,0.527,107.829,chill
as long as i have you,Foster,49,162217,False,0.518,0.605,5,-7.032,0,0.181,0.1,3.47e-06,0.219,0.319,79.641,chill
Reminiscing,Vluestar,55,73557,True,0.701,0.335,1,-11.377,1,0.598,0.772,3.62e-06,0.135,0.28,84.35,chill
Superstar,DeVita,43,167817,False,0.62,0.24,10,-9.262,1,0.0382,0.878,3.16e-06,0.157,0.556,72.007,chill
Natsukashii,Raimu,60,199746,False,0.854,0.291,9,-11.166,1,0.202,0.489,0.906,0.114,0.445,158.004,chill
Long Way Down,Tom Odell,59,149773,False,0.368,0.121,6,-13.778,1,0.0315,0.972,0.0322,0.0871,0.0956,133.148,chill
"Dear Depression,",Presence,57,139285,False,0.476,0.549,4,-10.426,1,0.395,0.81,0.000226,0.141,0.167,182.104,chill
Guarisci il mio Cuore,Valerio Castilla,55,189250,False,0.498,0.0749,4,-22.481,0,0.0473,0.982,0.925,0.111,0.263,106.329,chill
Stuck in Æther,Raimu,60,155294,False,0.537,0.2,5,-16.798,0,0.0457,0.721,0.952,0.279,0.0964,68.882,chill
The Wild Dance,Raimu,60,184428,False,0.591,0.335,1,-14.259,0,0.0545,0.686,0.432,0.408,0.0718,128.147,chill
To Be Continued..,Raimu,60,161344,False,0.539,0.26,8,-18.753,0,0.1,0.873,0.695,0.345,0.104,119.011,chill
dancing in the kitchen,Zachary Knowles,54,177420,False,0.819,0.652,2,-8.466,1,0.0515,0.124,0.000752,0.527,0.967,126.01,chill
Home,Tenno,60,179000,False,0.617,0.352,10,-15.745,0,0.0348,0.622,0.834,0.186,0.184,120.024,chill
FWM,Tone Stith,58,196666,True,0.615,0.551,7,-6.763,0,0.144,0.285,0.00105,0.109,0.363,142.019,chill
dreamin',53 Thieves,55,207705,True,0.831,0.419,1,-7.381,0,0.44,0.359,0.00228,0.0959,0.339,84.983,chill
Red Lights (feat. Wale),RINI;Wale,56,219686,True,0.567,0.666,10,-4.907,0,0.0623,0.355,3.9e-06,0.109,0.571,116.643,chill
Butterfly,UMI,62,160500,False,0.785,0.27,5,-14.457,1,0.0892,0.255,0.00132,0.0953,0.12,131.894,chill
Numb,Fiji Blue,50,162180,False,0.761,0.463,5,-8.373,0,0.0568,0.486,0.000582,0.179,0.431,114.052,chill
Atomic Ever After,Kid Travis,45,183139,False,0.748,0.356,6,-13.473,1,0.176,0.205,0.0,0.0917,0.59,137.641,chill
Dead Knot,cehryl,54,237366,False,0.607,0.581,1,-8.182,1,0.0284,0.024,0.0026,0.128,0.348,94.493,chill
SCARLETT'S WEEKEND,RUSSELL!,61,111696,True,0.706,0.348,2,-4.25,1,0.035,0.663,0.0,0.194,0.474,111.81,chill
Next to You,JYLPO;Oscar Welsh;Do Do,59,208461,True,0.459,0.66,9,-6.963,1,0.208,0.918,0.000147,0.121,0.621,179.75,chill
Behind The Sun,ODESZA,53,250634,False,0.597,0.926,6,-3.746,0,0.0553,0.00583,0.608,0.125,0.364,140.045,chill
cherry wine,Zachary Knowles,48,188499,False,0.595,0.305,1,-10.534,0,0.0336,0.88,1.29e-06,0.119,0.427,147.863,chill
stable life,dhruv,42,196428,False,0.502,0.446,2,-9.086,1,0.0365,0.466,9.03e-05,0.331,0.311,150.164,chill
over u,keshi,58,179777,False,0.911,0.257,8,-11.601,1,0.348,0.249,5.68e-05,0.324,0.193,130.045,chill
hello hello!,Yxngxr1,58,148363,True,0.927,0.651,8,-5.34,0,0.0934,0.624,0.0,0.105,0.937,110.009,chill
Want U Bad,Fern.,61,222000,False,0.469,0.315,6,-15.836,1,0.0496,0.871,0.000184,0.111,0.353,79.947,chill
Missing Sumthin',Nbdy,58,135789,True,0.721,0.366,2,-10.601,0,0.132,0.724,2.08e-05,0.119,0.798,76.051,chill
Wintree,Stapes,42,141296,False,0.723,0.287,0,-12.613,1,0.0783,0.957,0.825,0.102,0.253,76.011,chill
Catharsis,Aether,53,245613,False,0.715,0.218,0,-17.547,0,0.0396,0.709,0.925,0.082,0.0802,109.992,chill
yellow lights,Finding Hope,48,123310,False,0.459,0.161,10,-19.988,1,0.0335,0.89,0.0362,0.112,0.157,144.917,chill
Course,Knowmadic,55,138947,False,0.691,0.323,6,-16.599,1,0.119,0.897,0.942,0.0975,0.382,75.955,chill
Weed Wit U,Vluestar,58,121951,True,0.481,0.335,7,-17.999,0,0.223,0.977,0.000142,0.18,0.514,78.721,chill
Soul Mates,Jazzinuf;Etymology Records,59,96343,False,0.517,0.509,3,-9.917,1,0.137,0.407,0.311,0.251,0.37,74.98,chill
17 - Acoustic,Pink Sweat$,57,169276,False,0.525,0.276,0,-9.121,1,0.0347,0.893,0.0,0.118,0.329,125.014,chill
Nobody,Kid Travis,46,192000,False,0.86,0.479,1,-7.871,1,0.0366,0.265,0.0,0.112,0.962,105.023,chill
Stars,Kayou.,35,162323,False,0.368,0.681,10,-6.282,0,0.0591,0.424,0.0,0.145,0.205,107.801,chill
Best Thing,Janine,58,219065,False,0.479,0.364,5,-9.184,0,0.0606,0.902,8.1e-05,0.101,0.372,135.939,chill
BOY IN BLUE,Yxngxr1,58,206315,True,0.852,0.34,7,-9.759,1,0.0614,0.787,7.44e-06,0.0842,0.141,114.023,chill
Adrenaline,MASN,55,146053,False,0.604,0.767,5,-5.235,1,0.0567,0.0724,0.0,0.315,0.662,166.912,chill
Adios,Hoody;GRAY,55,200568,False,0.633,0.724,3,-3.447,1,0.0739,0.274,0.0,0.223,0.488,77.506,chill
Distant Stars,Zmeyev;Screen Jazzmaster,57,120000,False,0.696,0.308,11,-11.769,0,0.29,0.659,0.793,0.0892,0.757,79.949,chill
Float,Seon;Kado,56,162901,True,0.802,0.579,6,-4.12,0,0.0325,0.189,0.0,0.219,0.647,111.994,chill
Mister Mister,Mishaal,47,164036,False,0.709,0.571,5,-6.031,1,0.0811,0.382,0.0,0.0931,0.473,88.529,chill
Egyptian Pools,Jinsang,56,130677,False,0.665,0.597,5,-9.669,0,0.274,0.845,0.919,0.11,0.81,78.681,chill
Left Back - Remix,Ronzo;COMFY,65,180413,True,0.904,0.654,11,-9.292,1,0.345,0.468,0.0,0.0617,0.805,144.966,chill
skeletons - K-391 Remix,keshi;K-391,49,130013,True,0.593,0.731,2,-8.73,1,0.0353,0.00319,0.00728,0.123,0.629,159.918,chill
Sex for Breakfast,Holem;Shiloh Dynasty,55,97297,False,0.81,0.0774,0,-17.368,1,0.0526,0.927,0.0325,0.418,0.442,111.017,chill
Meant to Be,Skinny Atlas;Snøw;Jomie;Thomas Reid,54,110163,False,0.789,0.659,0,-5.305,1,0.0406,0.382,0.0392,0.252,0.603,91.508,chill
Thrill,French The Kid,62,163404,True,0.765,0.468,6,-11.39,0,0.245,0.616,0.000206,0.095,0.447,141.042,chill
Color Me In,Mokita,50,181714,False,0.599,0.815,11,-7.399,1,0.0956,0.0404,3.73e-06,0.131,0.595,140.027,chill
Miss You Too,Yusei,8,279923,False,0.71,0.149,7,-19.431,0,0.185,0.972,0.911,0.321,0.542,142.002,chill
Somebody You Loved,Kid Travis,41,145920,False,0.735,0.193,1,-11.663,1,0.0623,0.653,0.0,0.0819,0.766,124.823,chill
Romance in Tokyo,Yusei,13,269624,False,0.521,0.298,8,-10.272,1,0.159,0.974,0.909,0.234,0.487,105.178,chill
Something Like a Love Song,Yusei,13,293403,False,0.492,0.416,0,-11.569,1,0.393,0.925,0.856,0.15,0.468,67.202,chill
sweater weather / i wanna be your girlfriend,untrusted;creamy;11:11 Music Group,57,235161,False,0.655,0.538,10,-7.991,1,0.0378,0.299,0.393,0.0762,0.329,124.045,chill
Don't Forget About Me,Chris James,44,206250,False,0.472,0.296,1,-11.846,0,0.0525,0.832,1.78e-05,0.247,0.0959,103.945,chill
Call You Mine (feat. Geologic Of The Blue Scholars),Jeff Bernat;Geologic Of The Blue Scholars,61,215125,False,0.794,0.571,11,-6.436,0,0.0521,0.836,0.0174,0.0918,0.632,90.033,chill
Evening in Shinjuku,Yusei,8,290961,False,0.492,0.406,4,-13.565,0,0.414,0.984,0.818,0.195,0.326,121.762,chill
The Old Legend,DaniSogen,58,148474,False,0.71,0.251,0,-16.993,0,0.0295,0.763,0.937,0.379,0.412,118.017,chill
...Exclusively,Tiana Major9,0,235240,False,0.46,0.293,5,-11.912,1,0.063,0.844,0.0,0.126,0.248,137.552,chill
CAMISA 10,LARINHX;Ikinya;MangoLab;Ebony,37,175748,False,0.769,0.542,0,-7.253,0,0.0586,0.182,1.49e-06,0.0954,0.452,126.889,chill
Going,GEMINI,52,195760,False,0.676,0.724,0,-5.533,0,0.0496,0.216,0.000211,0.185,0.397,99.999,chill
Chill Day,LAKEY INSPIRED,56,186070,False,0.722,0.386,11,-7.658,0,0.0541,0.0854,0.943,0.0973,0.385,160.003,chill
No Love,Sainte;Miraa May,62,191365,True,0.716,0.553,1,-10.229,1,0.139,0.109,0.000214,0.106,0.217,112.264,chill
All I Need,Verzache,55,203750,True,0.663,0.786,9,-5.325,1,0.0353,0.212,1.96e-06,0.0957,0.319,145.977,chill
Collide (feat. Tyga),Justine Skye;Tyga,35,260190,False,0.424,0.319,11,-9.888,0,0.0636,0.114,0.0,0.273,0.158,136.623,chill
trust (feat. RINI),thuy;RINI,59,197557,False,0.762,0.556,0,-7.144,0,0.0406,0.13,0.0,0.081,0.649,95.025,chill
Wait!,Fiji Blue,48,168951,False,0.749,0.409,9,-9.263,1,0.0395,0.13,0.00222,0.152,0.486,122.979,chill
Don't,Colette Lush,60,208124,False,0.738,0.288,2,-8.721,0,0.0332,0.411,0.0,0.107,0.311,79.975,chill
Sad Life,SHRK;Shiloh Dynasty,56,181198,False,0.613,0.428,1,-16.208,1,0.337,0.775,0.577,0.0932,0.219,101.041,chill
i don't mind,demxntia;Laeland;Eric Godlow,52,188571,False,0.331,0.599,11,-6.832,1,0.0904,0.788,2.43e-06,0.155,0.49,77.42,chill
Luv(sic.) pt3 (feat. Shing02),Nujabes;Shing02,60,336866,False,0.866,0.691,5,-4.371,0,0.0478,0.727,0.503,0.0737,0.87,94.997,chill
city,Zachary Knowles,47,141328,False,0.781,0.666,2,-5.547,1,0.0639,0.00916,0.0,0.1,0.561,130.005,chill
Stoked,Weston Estate,56,189329,False,0.778,0.642,10,-6.435,1,0.137,0.149,0.0,0.106,0.786,133.04,chill
riptide,creamy;untrusted;11:11 Music Group,48,107027,False,0.656,0.133,1,-20.058,1,0.042,0.926,0.016,0.113,0.418,148.084,chill
Dandelion's Lullaby,Raimu,57,123870,False,0.682,0.141,2,-19.345,0,0.0616,0.801,0.886,0.112,0.109,93.099,chill
Drown,Weston Estate,57,181466,True,0.644,0.554,3,-6.642,0,0.049,0.0803,0.0,0.098,0.53,120.024,chill
Constant,Jesse Barrera;Jeremy Passion,62,190348,False,0.668,0.427,9,-8.74,1,0.0271,0.492,1.44e-05,0.201,0.604,87.031,chill
Lovefool (8D Audio),creamy;untrusted;11:11 Music Group;kaii,44,92903,False,0.728,0.149,7,-21.921,1,0.0468,0.801,0.872,0.0985,0.304,107.992,chill
Daydream,Finding Hope,43,164000,False,0.818,0.371,8,-8.319,1,0.0502,0.189,0.000489,0.124,0.39,90.006,chill
Concrete,Ben Kessler,50,152051,False,0.578,0.459,0,-9.926,1,0.127,0.381,0.0247,0.231,0.344,92.067,chill
Two Years Clear,Idi Akz,66,205053,True,0.695,0.552,1,-9.271,0,0.434,0.183,0.0,0.154,0.665,142.818,chill
Save,Faime,45,193033,False,0.616,0.335,5,-12.631,1,0.0303,0.851,0.0547,0.109,0.137,96.953,chill
Bloom,SPEECHLESS;liliomsaal,54,155715,False,0.662,0.206,11,-14.994,0,0.0473,0.95,0.797,0.102,0.278,123.934,chill
Spaceship,TOB Duke,62,151658,True,0.539,0.47,1,-10.013,1,0.389,0.868,0.0,0.0594,0.805,177.087,chill
Sweater Weather (Lofi Remix),89ine,45,215872,False,0.603,0.296,0,-16.694,0,0.0424,0.103,0.235,0.106,0.076,96.018,chill
just friends,potsu,61,172800,False,0.563,0.3,11,-16.664,0,0.0512,0.927,0.655,0.234,0.38,74.971,chill
Together,Joseph Tilley,50,149549,False,0.635,0.722,9,-5.088,1,0.123,0.444,0.0,0.0774,0.641,150.842,chill
get u the moon,poofi.,41,162192,False,0.75,0.158,6,-24.285,0,0.337,0.964,0.922,0.223,0.507,97.567,chill
Round & Round,Sainte,66,138000,False,0.916,0.401,1,-13.072,1,0.519,0.659,5.22e-06,0.0818,0.42,141.008,chill
Secret Waterfall,iamalex;Felty,58,123529,False,0.674,0.298,4,-8.401,1,0.0436,0.95,0.956,0.176,0.202,68.053,chill
Last,Dvwn,60,235666,False,0.695,0.39,7,-5.439,1,0.0342,0.117,0.0,0.104,0.455,123.985,chill
Issues,Lund,50,188560,True,0.754,0.517,11,-7.598,1,0.0368,0.587,0.0,0.0971,0.299,120.061,chill
IF I DON'T TEXT YOU FIRST,Tiffany Day,58,133547,True,0.76,0.492,9,-6.802,1,0.0824,0.269,0.0,0.305,0.677,104.987,chill
Feel Something,Fiji Blue,52,150756,False,0.695,0.662,2,-6.378,1,0.0286,0.046,0.0,0.176,0.618,122.023,chill
Japan - Satin Jackets Remix,Tycho;Saint Sinner;Satin Jackets,57,237419,False,0.708,0.771,2,-9.022,0,0.0394,0.00721,0.164,0.277,0.371,92.986,chill
I Know You so Well,Shiloh Dynasty;Shiloh Beat,48,132293,False,0.733,0.182,11,-13.724,0,0.117,0.922,0.328,0.122,0.309,69.459,chill
Sleep Well,SPEECHLESS,52,96018,False,0.582,0.197,7,-13.155,1,0.0493,0.748,0.923,0.101,0.149,99.816,chill
Luna,Tenno,48,154615,False,0.395,0.379,9,-13.785,0,0.192,0.936,0.977,0.344,0.0379,207.841,chill
atlas,keshi,57,171520,True,0.602,0.491,5,-6.764,1,0.0308,0.661,0.0,0.113,0.176,119.964,chill
I Can't Help,Sarcastic Sounds,52,77583,True,0.645,0.324,2,-12.177,1,0.0759,0.443,0.14,0.127,0.32,164.095,chill
meant nothing to me,dyl dion,57,117391,False,0.801,0.643,5,-5.635,1,0.0355,0.824,5.09e-05,0.109,0.664,147.29,chill
Why Did I Fall In Love,jesvn,44,130132,True,0.729,0.549,4,-11.366,0,0.351,0.741,0.0,0.11,0.771,144.887,chill
With or Without You,Chris James,39,151171,False,0.768,0.429,4,-8.494,1,0.117,0.51,8.73e-06,0.144,0.637,83.985,chill
California,Ethan Dufault,47,201651,False,0.609,0.659,9,-6.943,1,0.051,0.143,3.77e-05,0.0713,0.309,75.215,chill
