Track,Artist,BPM,Energy,Valence,Danceability,Acousticness,Popularity,Year
Ibiza Session Track 307,Hot Since 82,131,0.82,0.38,0.76,0.06,79,2006
Ibiza Session Track 308,Fisher,127,0.88,0.45,0.6,0.04,55,1995
Ibiza Session Track 309,Solomun,98,0.48,0.42,0.57,0.68,78,1998
Ibiza Session Track 310,MK,127,0.93,0.72,0.74,0.05,61,1998
Ibiza Session Track 311,The Martinez Brothers,127,0.8,0.27,0.67,0.01,60,2017
Ibiza Session Track 312,Solomun,128,0.98,0.7,0.69,0.01,73,2006
Ibiza Session Track 313,David Guetta,129,0.82,0.17,0.7,0.07,51,2025
Ibiza Session Track 314,Fisher,130,0.96,0.8,0.62,0.0,56,1999
Ibiza Session Track 315,Marco Carola,94,0.46,0.31,0.56,0.56,72,2006
Ibiza Session Track 316,Solomun,127,0.88,0.78,0.68,0.05,71,2013
Ibiza Session Track 317,David Guetta,90,0.39,0.46,0.56,0.5,69,2002
Ibiza Session Track 318,Jamie Jones,112,0.5,0.5,0.62,0.33,40,2023
Ibiza Session Track 319,Jamie Jones,122,0.7,0.52,0.9,0.04,44,2022
Ibiza Session Track 320,Jamie Jones,123,0.63,0.83,0.89,0.03,55,2012
Ibiza Session Track 321,Hot Since 82,124,0.81,0.23,0.77,0.08,45,2024
Ibiza Session Track 322,Hot Since 82,98,0.42,0.31,0.7,0.42,71,2014
Ibiza Session Track 323,Hot Since 82,124,0.72,0.19,0.62,0.08,49,1998
Ibiza Session Track 324,The Martinez Brothers,124,0.79,0.51,0.83,0.01,57,2014
Ibiza Session Track 325,Jamie Jones,121,0.65,0.79,0.74,0.02,48,2017
Ibiza Session Track 326,David Guetta,90,0.32,0.46,0.65,0.77,57,2017
Ibiza Session Track 327,MK,121,0.61,0.63,0.75,0.13,68,2011
Ibiza Session Track 328,Black Coffee,130,0.98,0.41,0.72,0.01,49,2010
Ibiza Session Track 329,Carl Cox,125,0.74,0.88,0.8,0.0,45,2001
Ibiza Session Track 330,The Martinez Brothers,127,0.73,0.57,0.76,0.15,50,2024
Ibiza Session Track 331,David Guetta,94,0.49,0.47,0.6,0.37,40,2022
Ibiza Session Track 332,Peggy Gou,123,0.84,0.89,0.86,0.11,67,2007
Ibiza Session Track 333,Solomun,127,0.71,0.9,0.86,0.03,46,2006
Ibiza Session Track 334,Calvin Harris,124,0.91,0.26,0.76,0.05,67,2000
Ibiza Session Track 335,Jamie Jones,130,0.9,0.7,0.62,0.03,49,2021
Ibiza Session Track 336,Peggy Gou,128,0.91,0.46,0.65,0.01,46,2014
Ibiza Session Track 337,David Guetta,126,0.85,0.62,0.64,0.02,59,2009
Ibiza Session Track 338,Hot Since 82,128,0.9,0.16,0.77,0.08,51,2020
Ibiza Session Track 339,The Martinez Brothers,126,0.84,0.82,0.74,0.05,54,2016
Ibiza Session Track 340,Fisher,124,0.9,0.72,0.66,0.01,55,2021
Ibiza Session Track 341,Peggy Gou,125,0.88,0.39,0.77,0.01,59,2004
Ibiza Session Track 342,Jamie Jones,130,0.88,0.5,0.65,0.05,51,2016
Ibiza Session Track 343,Peggy Gou,130,0.96,0.72,0.68,0.02,48,2024
Ibiza Session Track 344,Hot Since 82,108,0.34,0.61,0.54,0.59,42,2013
Ibiza Session Track 345,Hot Since 82,129,0.77,0.35,0.69,0.08,70,2008
Ibiza Session Track 346,Fisher,124,0.77,0.59,0.87,0.16,72,1997
Ibiza Session Track 347,Solomun,124,0.81,0.68,0.89,0.16,71,2017
Ibiza Session Track 348,Hot Since 82,104,0.44,0.64,0.54,0.66,47,2022
Ibiza Session Track 349,Marco Carola,118,0.9,0.74,0.88,0.19,55,2024
Ibiza Session Track 350,Tale Of Us,122,0.86,0.6,0.81,0.18,56,2019
Ibiza Session Track 351,Fisher,125,0.63,0.58,0.82,0.09,58,2025
Ibiza Session Track 352,Solomun,128,0.97,0.53,0.68,0.04,54,2009
Ibiza Session Track 353,MK,129,0.98,0.6,0.61,0.03,47,2022
Ibiza Session Track 354,The Martinez Brothers,128,0.9,0.63,0.7,0.02,46,2008
Ibiza Session Track 355,Calvin Harris,128,0.82,0.12,0.67,0.06,59,2001
Ibiza Session Track 356,Black Coffee,79,0.3,0.45,0.65,0.36,53,2024
Ibiza Session Track 357,The Martinez Brothers,127,0.71,0.54,0.74,0.06,41,2000
Ibiza Session Track 358,MK,128,0.75,0.59,0.75,0.15,58,2010
Ibiza Session Track 359,Calvin Harris,127,0.7,0.24,0.79,0.02,51,1996
Ibiza Session Track 360,The Martinez Brothers,123,0.91,0.55,0.72,0.02,70,2009
Ibiza Session Track 361,Marco Carola,131,0.88,0.12,0.63,0.06,68,2005
Ibiza Session Track 362,Marco Carola,127,0.66,0.56,0.71,0.0,46,2006
Ibiza Session Track 363,David Guetta,125,0.91,0.7,0.63,0.01,68,2011
Ibiza Session Track 364,Hot Since 82,129,0.94,0.47,0.69,0.04,74,2018
Ibiza Session Track 365,David Guetta,124,0.87,0.58,0.73,0.02,77,2001
Ibiza Session Track 366,MK,121,0.83,0.85,0.72,0.18,73,1998
Ibiza Session Track 367,Maceo Plex,127,0.91,0.62,0.74,0.0,70,2006
Ibiza Session Track 368,David Guetta,128,0.74,0.27,0.79,0.07,70,1997
Ibiza Session Track 369,Black Coffee,86,0.36,0.59,0.56,0.65,41,2008
Ibiza Session Track 370,The Martinez Brothers,129,0.82,0.38,0.75,0.04,79,2015
Ibiza Session Track 371,Black Coffee,126,0.96,0.74,0.71,0.0,60,2024
Ibiza Session Track 372,Hot Since 82,125,0.94,0.75,0.68,0.04,46,1997
Ibiza Session Track 373,Hot Since 82,129,0.98,0.55,0.62,0.03,65,2011
Ibiza Session Track 374,MK,128,0.79,0.39,0.66,0.02,57,2019
Ibiza Session Track 375,Black Coffee,88,0.49,0.51,0.56,0.61,63,2018
Ibiza Session Track 376,Maceo Plex,128,0.9,0.49,0.68,0.05,43,2025
Ibiza Session Track 377,Peggy Gou,129,0.92,0.15,0.62,0.02,40,2015
Ibiza Session Track 378,Carl Cox,124,0.75,0.27,0.77,0.01,64,2017
Ibiza Session Track 379,Solomun,129,0.93,0.31,0.67,0.07,70,2004
Ibiza Session Track 380,Carl Cox,128,0.93,0.53,0.7,0.02,49,2023
Ibiza Session Track 381,Calvin Harris,129,0.94,0.79,0.74,0.03,61,2025
Ibiza Session Track 382,Solomun,128,0.89,0.25,0.7,0.01,42,2010
Ibiza Session Track 383,Black Coffee,126,0.82,0.83,0.76,0.03,63,1996
Ibiza Session Track 384,Black Coffee,112,0.59,0.48,0.58,0.33,50,1998
Ibiza Session Track 385,Solomun,99,0.5,0.32,0.53,0.64,61,2004
Ibiza Session Track 386,Fisher,74,0.48,0.56,0.53,0.61,63,2021
Ibiza Session Track 387,Carl Cox,125,0.68,0.67,0.72,0.03,46,1998
Ibiza Session Track 388,Marco Carola,128,0.96,0.51,0.61,0.03,54,1995
Ibiza Session Track 389,David Guetta,106,0.54,0.62,0.55,0.44,59,2010
Ibiza Session Track 390,Solomun,131,0.8,0.3,0.78,0.02,48,2016
Ibiza Session Track 391,MK,130,0.94,0.24,0.8,0.02,79,2007
Ibiza Session Track 392,Marco Carola,129,0.89,0.29,0.72,0.03,79,2024
Ibiza Session Track 393,The Martinez Brothers,127,0.9,0.31,0.7,0.09,55,2008
Ibiza Session Track 394,Tale Of Us,128,0.79,0.18,0.66,0.04,58,2007
Ibiza Session Track 395,Hot Since 82,133,0.92,0.28,0.63,0.02,76,2007
Ibiza Session Track 396,Jamie Jones,98,0.47,0.52,0.52,0.35,44,2015
Ibiza Session Track 397,Peggy Gou,122,0.68,0.9,0.78,0.17,52,2003
Ibiza Session Track 398,Fisher,128,0.88,0.48,0.6,0.03,53,2001
Ibiza Session Track 399,Calvin Harris,129,0.89,0.69,0.69,0.03,80,2007
Ibiza Session Track 400,Calvin Harris,127,0.94,0.59,0.68,0.02,42,2014
Ibiza Session Track 401,Peggy Gou,126,0.76,0.11,0.7,0.05,74,2024
Ibiza Session Track 402,Marco Carola,133,0.9,0.2,0.76,0.03,73,2007
Ibiza Session Track 403,Fisher,103,0.55,0.67,0.56,0.55,50,2017
Ibiza Session Track 404,Solomun,83,0.35,0.36,0.64,0.69,51,2007
Ibiza Session Track 405,Hot Since 82,124,0.79,0.59,0.78,0.07,40,2013
Ibiza Session Track 406,Peggy Gou,123,0.78,0.79,0.82,0.17,44,2021
Ibiza Session Track 407,Hot Since 82,102,0.36,0.64,0.5,0.78,40,2016
Ibiza Session Track 408,Fisher,93,0.51,0.5,0.7,0.38,70,2021
Ibiza Session Track 409,Maceo Plex,122,0.82,0.84,0.8,0.03,60,2012
Ibiza Session Track 410,Black Coffee,98,0.59,0.7,0.64,0.42,71,2007
Ibiza Session Track 411,Solomun,130,0.92,0.62,0.7,0.03,65,2012
Ibiza Session Track 412,MK,129,0.76,0.33,0.65,0.07,73,2023
Ibiza Session Track 413,Jamie Jones,116,0.53,0.69,0.6,0.49,75,2002
Ibiza Session Track 414,Fisher,123,0.83,0.7,0.89,0.18,78,2000
Ibiza Session Track 415,Maceo Plex,127,0.98,0.64,0.65,0.02,68,2009
Ibiza Session Track 416,Calvin Harris,130,0.9,0.64,0.68,0.0,45,2022
Ibiza Session Track 417,Solomun,91,0.37,0.41,0.53,0.68,59,2025
Ibiza Session Track 418,Hot Since 82,96,0.52,0.44,0.66,0.66,60,2007
Ibiza Session Track 419,David Guetta,127,0.92,0.54,0.65,0.01,59,2021
Ibiza Session Track 420,Marco Carola,127,0.84,0.27,0.68,0.05,59,2002
Ibiza Session Track 421,Black Coffee,127,0.88,0.69,0.75,0.0,68,2019
Ibiza Session Track 422,The Martinez Brothers,124,0.72,0.76,0.88,0.03,60,2018
Ibiza Session Track 423,Marco Carola,125,0.94,0.31,0.76,0.03,66,1998
Ibiza Session Track 424,Jamie Jones,98,0.41,0.39,0.61,0.7,66,2015
Ibiza Session Track 425,Calvin Harris,109,0.42,0.49,0.54,0.73,59,2001
Ibiza Session Track 426,MK,131,0.82,0.13,0.77,0.05,72,2001
Ibiza Session Track 427,Tale Of Us,125,0.87,0.36,0.61,0.05,48,2006
Ibiza Session Track 428,Maceo Plex,130,0.96,0.44,0.71,0.04,45,2014
Ibiza Session Track 429,Marco Carola,107,0.38,0.57,0.66,0.73,61,2011
Ibiza Session Track 430,Fisher,129,0.9,0.39,0.76,0.06,55,2016
Ibiza Session Track 431,Marco Carola,126,0.97,0.72,0.66,0.02,73,2002
Ibiza Session Track 432,Peggy Gou,130,0.76,0.24,0.67,0.08,47,2000
Ibiza Session Track 433,Hot Since 82,127,0.93,0.29,0.66,0.0,69,1999
Ibiza Session Track 434,Tale Of Us,122,0.66,0.83,0.83,0.16,60,2009
Ibiza Session Track 435,MK,132,0.88,0.37,0.77,0.08,41,2016
Ibiza Session Track 436,Marco Carola,101,0.31,0.36,0.55,0.5,66,2001
Ibiza Session Track 437,Carl Cox,130,0.74,0.36,0.64,0.09,43,1997
Ibiza Session Track 438,Solomun,124,0.72,0.28,0.67,0.07,50,2010
Ibiza Session Track 439,Carl Cox,126,0.94,0.75,0.63,0.01,74,2011
Ibiza Session Track 440,Peggy Gou,127,0.87,0.11,0.69,0.08,43,2015
Ibiza Session Track 441,The Martinez Brothers,127,0.87,0.6,0.73,0.03,63,2012
Ibiza Session Track 442,Peggy Gou,126,0.9,0.75,0.74,0.01,40,2000
Ibiza Session Track 443,David Guetta,134,0.73,0.38,0.74,0.04,67,2007
Ibiza Session Track 444,Carl Cox,127,0.62,0.78,0.78,0.08,70,1995
Ibiza Session Track 445,Peggy Gou,120,0.88,0.76,0.8,0.17,71,2015
Ibiza Session Track 446,Black Coffee,97,0.4,0.43,0.67,0.5,80,2006
Ibiza Session Track 447,The Martinez Brothers,125,0.94,0.75,0.73,0.02,71,2015
Ibiza Session Track 448,The Martinez Brothers,108,0.32,0.48,0.58,0.56,67,2022
Ibiza Session Track 449,Solomun,91,0.56,0.53,0.61,0.54,80,2012
Ibiza Session Track 450,MK,92,0.47,0.63,0.52,0.39,80,2016
Ibiza Session Track 451,Fisher,90,0.5,0.59,0.57,0.59,52,2012
Ibiza Session Track 452,David Guetta,122,0.64,0.76,0.84,0.15,40,2017
Ibiza Session Track 453,Maceo Plex,132,0.85,0.17,0.71,0.06,40,2004
Ibiza Session Track 454,Black Coffee,122,0.86,0.31,0.7,0.07,64,2009
Ibiza Session Track 455,Carl Cox,125,0.97,0.46,0.74,0.04,53,2011
Ibiza Session Track 456,David Guetta,129,0.81,0.38,0.69,0.01,69,2001
Ibiza Session Track 457,Maceo Plex,124,0.65,0.72,0.77,0.1,51,2010
Ibiza Session Track 458,Tale Of Us,95,0.35,0.61,0.67,0.49,61,2004
Ibiza Session Track 459,Solomun,91,0.31,0.66,0.59,0.48,76,2007
Ibiza Session Track 460,Tale Of Us,121,0.89,0.63,0.73,0.05,55,2006
Ibiza Session Track 461,Carl Cox,121,0.62,0.79,0.87,0.02,50,1998
Ibiza Session Track 462,Maceo Plex,124,0.62,0.85,0.89,0.18,62,2000
Ibiza Session Track 463,Hot Since 82,125,0.73,0.79,0.78,0.05,57,2024
Ibiza Session Track 464,Marco Carola,122,0.82,0.71,0.8,0.15,48,1999
Ibiza Session Track 465,Carl Cox,125,0.87,0.46,0.71,0.01,50,2011
Ibiza Session Track 466,Marco Carola,116,0.43,0.59,0.53,0.38,51,2010
Ibiza Session Track 467,MK,126,0.84,0.5,0.85,0.18,73,2020
Ibiza Session Track 468,Peggy Gou,92,0.51,0.4,0.66,0.52,47,2019
Ibiza Session Track 469,Peggy Gou,125,0.77,0.58,0.85,0.17,52,2000
Ibiza Session Track 470,Tale Of Us,127,0.82,0.28,0.61,0.01,54,2013
Ibiza Session Track 471,Solomun,116,0.45,0.51,0.7,0.74,50,2002
Ibiza Session Track 472,Tale Of Us,121,0.56,0.31,0.66,0.76,56,2002
Ibiza Session Track 473,David Guetta,129,0.78,0.26,0.75,0.04,75,2020
Ibiza Session Track 474,The Martinez Brothers,90,0.32,0.64,0.7,0.39,72,1998
Ibiza Session Track 475,Peggy Gou,129,0.86,0.3,0.7,0.07,69,2003
Ibiza Session Track 476,Solomun,124,0.61,0.56,0.86,0.07,52,2025
Ibiza Session Track 477,Solomun,125,0.68,0.78,0.77,0.03,54,2011
Ibiza Session Track 478,Carl Cox,126,0.65,0.76,0.82,0.01,57,2011
Ibiza Session Track 479,Carl Cox,96,0.6,0.62,0.68,0.43,53,2018
Ibiza Session Track 480,Black Coffee,128,0.9,0.49,0.64,0.0,66,1996
Ibiza Session Track 481,Black Coffee,122,0.77,0.29,0.79,0.08,72,2002
Ibiza Session Track 482,MK,123,0.74,0.36,0.74,0.09,52,2023
Ibiza Session Track 483,MK,121,0.92,0.16,0.76,0.01,41,2015
Ibiza Session Track 484,The Martinez Brothers,122,0.73,0.88,0.87,0.13,62,2011
Ibiza Session Track 485,Calvin Harris,124,0.92,0.39,0.71,0.01,58,2008
Ibiza Session Track 486,Calvin Harris,128,0.96,0.58,0.66,0.02,40,2017
Ibiza Session Track 487,Black Coffee,125,0.84,0.78,0.76,0.14,78,2001
Ibiza Session Track 488,Hot Since 82,125,0.78,0.5,0.9,0.13,76,2015
Ibiza Session Track 489,The Martinez Brothers,111,0.42,0.54,0.64,0.68,57,2012
Ibiza Session Track 490,Hot Since 82,123,0.65,0.9,0.73,0.19,66,2001
Ibiza Session Track 491,Calvin Harris,127,0.94,0.59,0.62,0.01,52,1999
Ibiza Session Track 492,Calvin Harris,122,0.72,0.81,0.78,0.14,50,2003
Ibiza Session Track 493,Maceo Plex,126,0.86,0.66,0.62,0.05,76,2020
Ibiza Session Track 494,Calvin Harris,126,0.91,0.41,0.68,0.01,62,2020
Ibiza Session Track 495,Peggy Gou,130,0.73,0.2,0.67,0.03,54,2002
Ibiza Session Track 496,The Martinez Brothers,126,0.78,0.36,0.76,0.06,42,2019
Ibiza Session Track 497,Calvin Harris,131,0.85,0.29,0.73,0.02,41,2016
Ibiza Session Track 498,Marco Carola,127,0.86,0.65,0.67,0.04,65,2002
Ibiza Session Track 499,Solomun,128,0.9,0.53,0.75,0.04,71,1995
Ibiza Session Track 500,Solomun,98,0.47,0.38,0.7,0.56,53,2023
Ibiza Session Track 501,Calvin Harris,127,0.97,0.45,0.69,0.04,67,1996
Ibiza Session Track 502,Jamie Jones,106,0.51,0.46,0.55,0.3,41,2019
Ibiza Session Track 503,Maceo Plex,127,0.94,0.6,0.68,0.02,42,1999
Ibiza Session Track 504,Peggy Gou,80,0.47,0.53,0.58,0.51,59,2009
Ibiza Session Track 505,Maceo Plex,123,0.77,0.13,0.67,0.04,40,2007
Ibiza Session Track 506,David Guetta,129,0.8,0.17,0.75,0.04,75,2016
Ibiza Session Track 507,Jamie Jones,126,0.89,0.71,0.84,0.02,66,2015
Ibiza Session Track 508,Black Coffee,124,0.95,0.42,0.65,0.01,69,2024
Ibiza Session Track 509,Peggy Gou,128,0.89,0.73,0.72,0.0,41,2004
Ibiza Session Track 510,David Guetta,123,0.76,0.75,0.75,0.11,43,2011
Ibiza Session Track 511,Solomun,128,0.81,0.21,0.66,0.05,80,2023
Ibiza Session Track 512,Jamie Jones,105,0.35,0.66,0.65,0.47,61,1998
Ibiza Session Track 513,Carl Cox,125,0.94,0.55,0.73,0.02,65,2003
Ibiza Session Track 514,Calvin Harris,126,0.8,0.9,0.74,0.15,72,2004
Ibiza Session Track 515,Fisher,127,0.91,0.31,0.79,0.1,42,2005
Ibiza Session Track 516,Calvin Harris,123,0.68,0.75,0.74,0.04,77,2000
Ibiza Session Track 517,MK,128,0.94,0.68,0.68,0.04,64,2011
Ibiza Session Track 518,MK,103,0.52,0.63,0.68,0.32,48,2013
Ibiza Session Track 519,Fisher,101,0.46,0.47,0.68,0.35,74,1999
Ibiza Session Track 520,Carl Cox,132,0.72,0.24,0.72,0.06,78,2024
Ibiza Session Track 521,Solomun,96,0.47,0.56,0.69,0.57,43,2003
Ibiza Session Track 522,Tale Of Us,128,0.78,0.33,0.67,0.1,49,2007
Ibiza Session Track 523,Carl Cox,124,0.81,0.6,0.83,0.11,80,2008
Ibiza Session Track 524,The Martinez Brothers,131,0.83,0.38,0.72,0.1,63,2012
Ibiza Session Track 525,Carl Cox,125,0.79,0.85,0.72,0.15,78,1998
Ibiza Session Track 526,Jamie Jones,95,0.51,0.35,0.6,0.75,66,2015
Ibiza Session Track 527,Black Coffee,123,0.82,0.52,0.88,0.11,47,2022
Ibiza Session Track 528,Maceo Plex,122,0.61,0.55,0.8,0.07,70,1998
Ibiza Session Track 529,Peggy Gou,105,0.34,0.47,0.55,0.71,68,1996
Ibiza Session Track 530,The Martinez Brothers,100,0.42,0.41,0.59,0.58,41,1999
Ibiza Session Track 531,Maceo Plex,125,0.66,0.73,0.73,0.17,66,2011
Ibiza Session Track 532,Calvin Harris,126,0.94,0.47,0.61,0.03,49,2023
Ibiza Session Track 533,MK,123,0.66,0.8,0.86,0.19,79,1999
Ibiza Session Track 534,The Martinez Brothers,95,0.55,0.36,0.64,0.42,53,2002
Ibiza Session Track 535,Marco Carola,124,0.89,0.79,0.88,0.15,80,2006
Ibiza Session Track 536,Black Coffee,102,0.43,0.38,0.61,0.59,80,2007
Ibiza Session Track 537,Carl Cox,127,0.96,0.54,0.67,0.02,47,2018
Ibiza Session Track 538,David Guetta,102,0.44,0.42,0.52,0.45,61,2014
Ibiza Session Track 539,MK,120,0.87,0.6,0.82,0.15,74,2005
Ibiza Session Track 540,Solomun,94,0.41,0.67,0.7,0.69,60,2005
Ibiza Session Track 541,Carl Cox,85,0.43,0.4,0.62,0.59,79,2016
Ibiza Session Track 542,Hot Since 82,99,0.5,0.56,0.66,0.62,57,2007
Ibiza Session Track 543,David Guetta,126,0.92,0.7,0.67,0.02,57,2015
Ibiza Session Track 544,Tale Of Us,122,0.66,0.79,0.76,0.07,76,2025
Ibiza Session Track 545,Maceo Plex,136,0.95,0.31,0.72,0.06,63,1995
Ibiza Session Track 546,David Guetta,98,0.4,0.43,0.52,0.79,79,2004
Ibiza Session Track 547,Black Coffee,127,0.94,0.67,0.71,0.02,45,2022
Ibiza Session Track 548,Hot Since 82,119,0.35,0.58,0.57,0.36,43,2002
Ibiza Session Track 549,MK,124,0.72,0.37,0.62,0.09,42,2015
Ibiza Session Track 550,Peggy Gou,125,0.73,0.11,0.69,0.02,72,2006
Ibiza Session Track 551,David Guetta,129,0.96,0.54,0.7,0.01,44,2003
Ibiza Session Track 552,Tale Of Us,126,0.83,0.39,0.69,0.08,59,2013
Ibiza Session Track 553,Maceo Plex,123,0.71,0.3,0.61,0.1,41,2018
Ibiza Session Track 554,Jamie Jones,131,0.94,0.77,0.69,0.04,65,2004
Ibiza Session Track 555,David Guetta,127,0.94,0.16,0.76,0.06,63,2010
Ibiza Session Track 556,Marco Carola,123,0.85,0.73,0.89,0.2,79,2022
Ibiza Session Track 557,David Guetta,124,0.89,0.59,0.87,0.03,42,2010
Ibiza Session Track 558,Calvin Harris,121,0.41,0.32,0.62,0.75,55,2015
Ibiza Session Track 559,Tale Of Us,128,0.91,0.71,0.68,0.01,75,2023
Ibiza Session Track 560,Maceo Plex,125,0.88,0.82,0.81,0.03,68,1998
Ibiza Session Track 561,Peggy Gou,126,0.88,0.2,0.62,0.02,60,2002
Ibiza Session Track 562,Marco Carola,121,0.71,0.82,0.82,0.16,59,2007
Ibiza Session Track 563,Maceo Plex,119,0.63,0.78,0.73,0.0,72,2000
Ibiza Session Track 564,Hot Since 82,127,0.89,0.48,0.62,0.0,59,2020
Ibiza Session Track 565,The Martinez Brothers,126,0.94,0.1,0.68,0.04,44,2013
Ibiza Session Track 566,Calvin Harris,127,0.88,0.42,0.72,0.04,71,1998
Ibiza Session Track 567,Solomun,109,0.37,0.66,0.52,0.36,60,2015
Ibiza Session Track 568,MK,77,0.44,0.3,0.68,0.59,60,1996
Ibiza Session Track 569,Solomun,126,0.78,0.89,0.83,0.17,71,2014
Ibiza Session Track 570,Peggy Gou,127,0.88,0.51,0.6,0.05,62,2023
Ibiza Session Track 571,Jamie Jones,121,0.79,0.57,0.85,0.12,65,2004
Ibiza Session Track 572,Tale Of Us,128,0.88,0.72,0.61,0.0,41,2010
Ibiza Session Track 573,Jamie Jones,109,0.58,0.39,0.57,0.7,71,2021
Ibiza Session Track 574,Tale Of Us,130,0.87,0.46,0.6,0.01,49,2006
Ibiza Session Track 575,Tale Of Us,125,0.85,0.33,0.7,0.06,72,2012
Ibiza Session Track 576,Hot Since 82,129,0.95,0.54,0.74,0.0,48,1997
Ibiza Session Track 577,Marco Carola,127,0.92,0.66,0.75,0.03,77,2022
Ibiza Session Track 578,Carl Cox,124,0.38,0.61,0.6,0.59,43,2022
Ibiza Session Track 579,Maceo Plex,127,0.92,0.26,0.78,0.0,56,2022
Ibiza Session Track 580,Tale Of Us,125,0.86,0.71,0.64,0.04,75,2024
Ibiza Session Track 581,The Martinez Brothers,124,0.88,0.36,0.76,0.03,55,2008
Ibiza Session Track 582,Tale Of Us,125,0.86,0.53,0.87,0.18,64,2003
Ibiza Session Track 583,David Guetta,91,0.53,0.53,0.53,0.52,74,2013
Ibiza Session Track 584,Peggy Gou,100,0.56,0.47,0.55,0.53,63,2011
Ibiza Session Track 585,Fisher,100,0.58,0.47,0.63,0.62,54,1999
Ibiza Session Track 586,Peggy Gou,130,0.91,0.74,0.61,0.04,55,1997
Ibiza Session Track 587,Hot Since 82,114,0.35,0.43,0.66,0.66,51,2012
Ibiza Session Track 588,Carl Cox,121,0.86,0.29,0.68,0.06,53,2014
Ibiza Session Track 589,Peggy Gou,126,0.95,0.72,0.69,0.04,62,2013
Ibiza Session Track 590,The Martinez Brothers,83,0.53,0.31,0.65,0.69,67,2013
Ibiza Session Track 591,Jamie Jones,126,0.89,0.58,0.8,0.05,66,2004
Ibiza Session Track 592,Black Coffee,128,0.86,0.46,0.74,0.03,62,2025
Ibiza Session Track 593,The Martinez Brothers,124,0.65,0.77,0.88,0.19,46,2008
Ibiza Session Track 594,David Guetta,110,0.48,0.48,0.62,0.77,60,2017
Ibiza Session Track 595,Solomun,114,0.52,0.61,0.54,0.34,79,2017
Ibiza Session Track 596,Tale Of Us,91,0.42,0.41,0.5,0.78,40,1999
Ibiza Session Track 597,Tale Of Us,124,0.67,0.89,0.71,0.08,69,2011
Ibiza Session Track 598,Calvin Harris,126,0.85,0.25,0.7,0.08,59,2017
Ibiza Session Track 599,MK,128,0.89,0.1,0.62,0.01,79,2023
Ibiza Session Track 600,MK,128,0.76,0.4,0.65,0.04,61,2014
Ibiza Session Track 601,Black Coffee,131,0.88,0.25,0.75,0.1,62,2002
Ibiza Session Track 602,David Guetta,121,0.84,0.65,0.81,0.07,52,2005
Ibiza Session Track 603,Black Coffee,123,0.62,0.82,0.84,0.06,44,2004
Ibiza Session Track 604,David Guetta,127,0.94,0.26,0.78,0.09,51,2016
Ibiza Session Track 605,Solomun,130,0.9,0.76,0.66,0.02,57,2018
Ibiza Session Track 606,Peggy Gou,133,0.83,0.15,0.63,0.01,66,2009
Ibiza Session Track 607,Jamie Jones,127,0.92,0.61,0.62,0.04,80,2024
Ibiza Session Track 608,The Martinez Brothers,128,0.92,0.66,0.64,0.03,79,2012
Ibiza Session Track 609,Calvin Harris,125,0.85,0.61,0.86,0.13,79,2022
Ibiza Session Track 610,Black Coffee,129,0.85,0.24,0.64,0.03,69,2025
Ibiza Session Track 611,Peggy Gou,126,0.86,0.77,0.74,0.02,56,1997
Ibiza Session Track 612,Maceo Plex,129,0.97,0.77,0.71,0.03,43,2008
Ibiza Session Track 613,The Martinez Brothers,110,0.55,0.68,0.5,0.56,68,2000
Ibiza Session Track 614,The Martinez Brothers,124,0.86,0.67,0.85,0.18,61,1995
Ibiza Session Track 615,Marco Carola,106,0.35,0.56,0.67,0.54,61,2016
Ibiza Session Track 616,Peggy Gou,121,0.78,0.68,0.9,0.03,44,2002
Ibiza Session Track 617,Maceo Plex,88,0.48,0.46,0.66,0.41,73,2012
Ibiza Session Track 618,Tale Of Us,116,0.54,0.59,0.53,0.4,70,2024
Ibiza Session Track 619,Tale Of Us,130,0.74,0.14,0.62,0.08,67,2012
Ibiza Session Track 620,The Martinez Brothers,127,0.87,0.47,0.65,0.04,46,2020
Ibiza Session Track 621,The Martinez Brothers,125,0.81,0.16,0.78,0.08,73,2012
Ibiza Session Track 622,Jamie Jones,128,0.76,0.12,0.79,0.09,75,1996
Ibiza Session Track 623,Peggy Gou,123,0.93,0.8,0.61,0.02,69,2013
Ibiza Session Track 624,Calvin Harris,121,0.85,0.73,0.8,0.19,44,2007
Ibiza Session Track 625,Hot Since 82,130,0.98,0.43,0.73,0.04,42,2011
Ibiza Session Track 626,The Martinez Brothers,124,0.86,0.54,0.8,0.02,80,2001
Ibiza Session Track 627,Fisher,105,0.48,0.59,0.59,0.51,59,2004
Ibiza Session Track 628,David Guetta,129,0.89,0.5,0.66,0.04,73,2022
Ibiza Session Track 629,Black Coffee,130,0.93,0.55,0.73,0.04,41,2006
Ibiza Session Track 630,Maceo Plex,126,0.8,0.36,0.62,0.05,61,2023
Ibiza Session Track 631,Calvin Harris,92,0.36,0.36,0.59,0.64,40,2021
Ibiza Session Track 632,Fisher,126,0.73,0.85,0.84,0.13,63,2016
Ibiza Session Track 633,Jamie Jones,129,0.86,0.11,0.66,0.09,43,2005
Ibiza Session Track 634,David Guetta,126,0.92,0.12,0.76,0.01,75,2006
Ibiza Session Track 635,Carl Cox,128,0.93,0.68,0.67,0.04,60,2022
Ibiza Session Track 636,Fisher,128,0.89,0.7,0.73,0.03,72,2005
Ibiza Session Track 637,Solomun,127,0.77,0.2,0.76,0.0,41,1995
Ibiza Session Track 638,Solomun,125,0.71,0.11,0.65,0.05,71,2000
